n_concepts,Method,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20
2,drift_localizer,0.8533333333333334,0.8266666666666667,0.7133333333333334,0.7266666666666667,0.7866666666666666,0.8666666666666667,0.8733333333333333,0.74,0.7933333333333333,0.88,0.8066666666666666,0.7866666666666666,0.8066666666666666,0.7666666666666667,0.88,0.8466666666666667,0.86,0.7133333333333334,0.8666666666666667,0.9066666666666666
2,one_local_l,0.8266666666666667,0.82,0.7533333333333333,0.76,0.7333333333333333,0.8266666666666667,0.8133333333333334,0.7533333333333333,0.7666666666666667,0.84,0.74,0.76,0.8333333333333334,0.7933333333333333,0.6733333333333333,0.64,0.84,0.72,0.82,0.82
2,one_local_l_lp,0.9066666666666666,0.8866666666666667,0.8266666666666667,0.86,0.76,0.7866666666666666,0.7533333333333333,0.92,0.7866666666666666,0.8266666666666667,0.6933333333333334,0.72,0.8533333333333334,0.64,0.7133333333333334,0.4866666666666667,0.9133333333333333,0.7266666666666667,0.9266666666666666,0.8733333333333333
2,recon_single,0.7333333333333333,0.7933333333333333,0.6,0.78,0.7266666666666667,0.72,0.76,0.7533333333333333,0.6533333333333333,0.6733333333333333,0.56,0.6466666666666666,0.8066666666666666,0.7266666666666667,0.7133333333333334,0.7733333333333333,0.8466666666666667,0.7066666666666667,0.7466666666666667,0.8266666666666667
2,recon_single_lp,0.6666666666666666,0.8733333333333333,0.5666666666666667,0.88,0.8066666666666666,0.7466666666666667,0.7,0.92,0.5533333333333333,0.78,0.5666666666666667,0.6866666666666666,0.96,0.9333333333333333,0.6733333333333333,0.9266666666666666,0.8933333333333333,0.8066666666666666,0.8666666666666667,0.88
2,recon_all,0.7333333333333333,0.7666666666666667,0.6866666666666666,0.7733333333333333,0.7733333333333333,0.7733333333333333,0.8466666666666667,0.7,0.7733333333333333,0.7333333333333333,0.72,0.76,0.7266666666666667,0.7266666666666667,0.8333333333333334,0.7733333333333333,0.8933333333333333,0.6866666666666666,0.72,0.8933333333333333
2,recon_all_lp,0.6666666666666666,0.8333333333333334,0.6533333333333333,0.94,0.88,0.8,0.8266666666666667,0.9333333333333333,0.7133333333333334,0.8266666666666667,0.7266666666666667,0.8533333333333334,0.9066666666666666,0.9333333333333333,0.82,0.9266666666666666,0.9266666666666666,0.92,0.84,0.9733333333333334
10,drift_localizer,0.8066666666666666,0.82,0.8133333333333334,0.7866666666666666,0.8733333333333333,0.92,0.8866666666666667,0.8466666666666667,0.8933333333333333,0.9133333333333333,0.7266666666666667,0.8533333333333334,0.78,0.8533333333333334,0.9,0.82,0.8466666666666667,0.5933333333333334,0.7066666666666667,0.7266666666666667
10,one_local_l,0.7533333333333333,0.68,0.82,0.7866666666666666,0.8466666666666667,0.8333333333333334,0.82,0.9133333333333333,0.8066666666666666,0.8466666666666667,0.7333333333333333,0.7266666666666667,0.7866666666666666,0.7466666666666667,0.76,0.7066666666666667,0.82,0.6733333333333333,0.6333333333333333,0.64
10,one_local_l_lp,0.7466666666666667,0.7533333333333333,0.8333333333333334,0.8933333333333333,0.92,0.8733333333333333,0.8133333333333334,0.84,0.8466666666666667,0.8933333333333333,0.7933333333333333,0.7,0.8333333333333334,0.7733333333333333,0.7533333333333333,0.7133333333333334,0.9066666666666666,0.7733333333333333,0.7133333333333334,0.58
10,recon_single,0.7533333333333333,0.7733333333333333,0.8066666666666666,0.7666666666666667,0.8333333333333334,0.72,0.84,0.8133333333333334,0.7933333333333333,0.78,0.6933333333333334,0.72,0.7533333333333333,0.6733333333333333,0.7466666666666667,0.8266666666666667,0.8066666666666666,0.6466666666666666,0.68,0.6733333333333333
10,recon_single_lp,0.8533333333333334,0.82,0.8333333333333334,0.9133333333333333,0.9466666666666667,0.76,0.94,0.82,0.8466666666666667,0.84,0.86,0.7066666666666667,0.8666666666666667,0.8066666666666666,0.7666666666666667,0.9,0.8933333333333333,0.7866666666666666,0.7733333333333333,0.7466666666666667
10,recon_all,0.82,0.8466666666666667,0.8533333333333334,0.7866666666666666,0.8,0.7866666666666666,0.9133333333333333,0.7533333333333333,0.8933333333333333,0.8466666666666667,0.6933333333333334,0.8666666666666667,0.7666666666666667,0.7866666666666666,0.8533333333333334,0.7866666666666666,0.8533333333333334,0.6333333333333333,0.7466666666666667,0.7666666666666667
10,recon_all_lp,0.92,0.88,0.8533333333333334,0.8933333333333333,0.9266666666666666,0.8133333333333334,0.96,0.8933333333333333,0.9733333333333334,0.8933333333333333,0.8733333333333333,0.88,0.9466666666666667,0.8133333333333334,0.8333333333333334,0.8866666666666667,0.9133333333333333,0.84,0.7466666666666667,0.7466666666666667
20,drift_localizer,0.68,0.7133333333333334,0.74,0.7533333333333333,0.7933333333333333,0.7733333333333333,0.8466666666666667,0.8066666666666666,0.7533333333333333,0.7266666666666667,0.8133333333333334,0.9266666666666666,0.8333333333333334,0.8,0.7533333333333333,0.86,0.7466666666666667,0.88,0.7933333333333333,0.7533333333333333
20,one_local_l,0.5733333333333334,0.6933333333333334,0.7266666666666667,0.7333333333333333,0.74,0.8533333333333334,0.76,0.7066666666666667,0.6733333333333333,0.7666666666666667,0.7133333333333334,0.8466666666666667,0.8,0.7666666666666667,0.72,0.8866666666666667,0.6933333333333334,0.9133333333333333,0.8,0.6933333333333334
20,one_local_l_lp,0.6266666666666667,0.7133333333333334,0.7066666666666667,0.7133333333333334,0.88,0.8133333333333334,0.7266666666666667,0.74,0.7333333333333333,0.88,0.8333333333333334,0.8933333333333333,0.9266666666666666,0.8066666666666666,0.7933333333333333,0.8933333333333333,0.7733333333333333,0.9133333333333333,0.8333333333333334,0.7533333333333333
20,recon_single,0.58,0.6066666666666667,0.6466666666666666,0.7133333333333334,0.7866666666666666,0.8466666666666667,0.74,0.6466666666666666,0.7466666666666667,0.74,0.7133333333333334,0.84,0.7733333333333333,0.8133333333333334,0.7266666666666667,0.8266666666666667,0.7266666666666667,0.86,0.8266666666666667,0.7133333333333334
20,recon_single_lp,0.66,0.7733333333333333,0.72,0.88,0.9533333333333334,0.8733333333333333,0.7066666666666667,0.7333333333333333,0.9133333333333333,0.88,0.86,0.9133333333333333,0.9,0.9066666666666666,0.8133333333333334,0.94,0.82,0.9533333333333334,0.94,0.8533333333333334
20,recon_all,0.6866666666666666,0.7266666666666667,0.7,0.76,0.8133333333333334,0.7866666666666666,0.7533333333333333,0.6866666666666666,0.76,0.76,0.7466666666666667,0.9,0.8066666666666666,0.8266666666666667,0.7333333333333333,0.8266666666666667,0.7466666666666667,0.88,0.7866666666666666,0.7533333333333333
20,recon_all_lp,0.82,0.8533333333333334,0.8266666666666667,0.9266666666666666,0.98,0.9733333333333334,0.7733333333333333,0.8,0.94,0.8733333333333333,0.92,0.96,0.92,0.9333333333333333,0.8466666666666667,0.9666666666666667,0.8666666666666667,0.96,0.98,0.8933333333333333
30,drift_localizer,0.7933333333333333,0.6866666666666666,0.74,0.7133333333333334,0.82,0.82,0.86,0.78,0.8533333333333334,0.8266666666666667,0.92,0.8866666666666667,0.9266666666666666,0.9066666666666666,0.9066666666666666,0.72,0.84,0.8133333333333334,0.8,0.8266666666666667
30,one_local_l,0.76,0.5533333333333333,0.6866666666666666,0.6266666666666667,0.7066666666666667,0.7,0.7066666666666667,0.64,0.8066666666666666,0.7,0.84,0.8066666666666666,0.7533333333333333,0.7133333333333334,0.8533333333333334,0.64,0.7666666666666667,0.6866666666666666,0.74,0.66
30,one_local_l_lp,0.78,0.56,0.7066666666666667,0.6066666666666667,0.66,0.76,0.7266666666666667,0.62,0.8333333333333334,0.7133333333333334,0.8666666666666667,0.88,0.8,0.7133333333333334,0.8533333333333334,0.7733333333333333,0.7933333333333333,0.7,0.74,0.7266666666666667
