patch_size,stability_mean,stability_std
64,0.14422136091050647,0.027597356013937088
100,0.14340877838078,0.025406759056607966
128,0.1593130628267924,0.031053463940101424
cross_all_values,0.25207076418179053,0.06267613418237611
