num data points,stability_mean,stability_std
150,0.2602177699903647,0.023884011121468086
300,0.19692977572480838,0.026186988685509442
450,0.15417956235508123,0.02478532949224369
500,0.15170984127869208,0.02850333006529358
cross_all_values,0.19444705098867415,0.03771440191427716
