n_concepts,stability_mean,stability_std
2,0.06617380921777925,0.030409905235332636
10,0.16121642585647733,0.03402676707353511
20,0.19301592597835943,0.02539153809161327
30,0.19836959501630383,0.020835967954117737
40,0.22139469408675244,0.02641993770563348
50,0.22105181695599305,0.021879941937298423
