n_concepts,stability_mean,stability_std
2,0.07710666020711263,0.04210517578125706
10,0.17148892708122732,0.022680342013390496
20,0.20316689744591712,0.018930208444593113
30,0.240692911396424,0.03058625864024382
40,0.2609805110593637,0.04423097661402981
50,0.2592798877755801,0.01216753057818937
