num data points,Method,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20,Run_21,Run_22,Run_23,Run_24,Run_25
150,drift_localizer,0.8,0.6888888888888889,0.7111111111111111,0.7777777777777778,0.7555555555555555,0.8222222222222222,0.7333333333333333,0.8444444444444444,0.8444444444444444,0.9111111111111111,0.6,0.8444444444444444,0.6222222222222222,0.7777777777777778,0.7111111111111111,0.6444444444444445,0.6666666666666666,0.8,0.8666666666666667,0.7777777777777778,0.8,0.5777777777777777,0.7777777777777778,0.7333333333333333,0.6888888888888889
150,one_local_l,0.7333333333333333,0.7555555555555555,0.6888888888888889,0.7777777777777778,0.6888888888888889,0.8444444444444444,0.8888888888888888,0.7777777777777778,0.7333333333333333,0.7555555555555555,0.7111111111111111,0.8666666666666667,0.6,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.8,0.8666666666666667,0.6444444444444445,0.8666666666666667,0.6888888888888889,0.7111111111111111,0.8444444444444444,0.6888888888888889,0.7111111111111111
150,one_local_l_lp,0.6666666666666666,0.5333333333333333,0.7111111111111111,0.7333333333333333,0.7111111111111111,0.8888888888888888,0.7111111111111111,0.8888888888888888,0.7111111111111111,0.7555555555555555,0.8444444444444444,0.8444444444444444,0.8,0.8222222222222222,0.7111111111111111,0.9777777777777777,0.8222222222222222,0.7111111111111111,0.6444444444444445,0.6888888888888889,0.8,0.7777777777777778,0.8,0.9111111111111111,0.8
150,recon_single,0.6666666666666666,0.6444444444444445,0.6888888888888889,0.8666666666666667,0.7333333333333333,0.8444444444444444,0.7111111111111111,0.7555555555555555,0.7333333333333333,0.6,0.6,0.6666666666666666,0.6666666666666666,0.6222222222222222,0.7555555555555555,0.6444444444444445,0.7111111111111111,0.6444444444444445,0.6444444444444445,0.8222222222222222,0.6222222222222222,0.7333333333333333,0.7555555555555555,0.7333333333333333,0.7333333333333333
150,recon_single_lp,0.6888888888888889,0.7777777777777778,0.7555555555555555,0.9111111111111111,0.8444444444444444,0.8888888888888888,0.8888888888888888,0.9111111111111111,0.7111111111111111,0.6444444444444445,1.0,0.6888888888888889,0.8222222222222222,0.7555555555555555,0.7333333333333333,1.0,0.7333333333333333,0.7111111111111111,0.6,0.7333333333333333,0.8222222222222222,0.8,0.7555555555555555,1.0,0.8222222222222222
150,recon_all,0.5333333333333333,0.5333333333333333,0.7111111111111111,0.7777777777777778,0.7333333333333333,0.8,0.7111111111111111,0.8,0.6,0.7333333333333333,0.6,0.6666666666666666,0.6222222222222222,0.6222222222222222,0.6666666666666666,0.6444444444444445,0.7555555555555555,0.6666666666666666,0.7555555555555555,0.8666666666666667,0.6,0.6444444444444445,0.7555555555555555,0.8222222222222222,0.6444444444444445
150,recon_all_lp,0.6444444444444445,0.8444444444444444,0.9555555555555556,1.0,0.8444444444444444,0.9777777777777777,0.7555555555555555,0.9555555555555556,0.6222222222222222,0.8222222222222222,1.0,0.6444444444444445,0.8666666666666667,0.7555555555555555,0.6,1.0,0.7777777777777778,0.7777777777777778,0.7111111111111111,0.9111111111111111,0.8,0.9333333333333333,0.7555555555555555,0.8222222222222222,0.9555555555555556
300,drift_localizer,0.8222222222222222,0.7777777777777778,0.7222222222222222,0.8666666666666667,0.7555555555555555,0.8555555555555555,0.7888888888888889,0.7111111111111111,0.8777777777777778,0.7888888888888889,0.9666666666666667,0.9222222222222223,0.7,0.7777777777777778,0.7777777777777778,0.6888888888888889,0.7222222222222222,0.8,0.7555555555555555,0.7555555555555555,0.7333333333333333,0.8,0.7111111111111111,0.7,0.7666666666666667
300,one_local_l,0.8111111111111111,0.7888888888888889,0.7,0.8,0.7777777777777778,0.8444444444444444,0.7222222222222222,0.7777777777777778,0.8444444444444444,0.8777777777777778,0.8888888888888888,0.8777777777777778,0.7,0.7222222222222222,0.7555555555555555,0.7444444444444445,0.7666666666666667,0.7666666666666667,0.8,0.7111111111111111,0.7444444444444445,0.7777777777777778,0.6555555555555556,0.7222222222222222,0.7333333333333333
300,one_local_l_lp,0.8777777777777778,0.8333333333333334,0.8666666666666667,0.9333333333333333,0.7333333333333333,0.9,0.9333333333333333,0.7777777777777778,0.9,0.7333333333333333,0.9,0.8888888888888888,0.8666666666666667,0.9222222222222223,0.8888888888888888,0.7444444444444445,0.8666666666666667,0.8555555555555555,0.8444444444444444,0.8,0.7666666666666667,0.8888888888888888,0.45555555555555555,0.7333333333333333,0.9222222222222223
300,recon_single,0.8111111111111111,0.7666666666666667,0.6777777777777778,0.8111111111111111,0.7333333333333333,0.8444444444444444,0.7222222222222222,0.7222222222222222,0.8111111111111111,0.8333333333333334,0.8888888888888888,0.8666666666666667,0.7111111111111111,0.7444444444444445,0.7777777777777778,0.7,0.7555555555555555,0.7555555555555555,0.7333333333333333,0.7333333333333333,0.7,0.7666666666666667,0.6333333333333333,0.7888888888888889,0.7444444444444445
300,recon_single_lp,0.9222222222222223,0.7888888888888889,0.9555555555555556,0.9444444444444444,0.7333333333333333,0.9,0.9333333333333333,0.8333333333333334,0.9333333333333333,0.8222222222222222,0.9222222222222223,0.9222222222222223,0.9,0.9444444444444444,0.9111111111111111,0.9888888888888889,0.7888888888888889,0.8666666666666667,0.8222222222222222,0.8222222222222222,0.8111111111111111,0.9,0.8777777777777778,0.8666666666666667,0.9333333333333333
300,recon_all,0.7777777777777778,0.7333333333333333,0.7444444444444445,0.8444444444444444,0.7,0.8222222222222222,0.7777777777777778,0.7333333333333333,0.9111111111111111,0.8,0.9555555555555556,0.9111111111111111,0.7222222222222222,0.7333333333333333,0.7333333333333333,0.6888888888888889,0.7333333333333333,0.8,0.7333333333333333,0.6888888888888889,0.7444444444444445,0.7444444444444445,0.7666666666666667,0.7222222222222222,0.8
300,recon_all_lp,0.9111111111111111,0.8,0.9555555555555556,0.9777777777777777,0.5222222222222223,0.9222222222222223,0.9888888888888889,0.8222222222222222,0.9444444444444444,0.9222222222222223,0.9666666666666667,0.9666666666666667,0.8888888888888888,0.9555555555555556,0.9555555555555556,0.9333333333333333,0.8777777777777778,0.9111111111111111,0.8222222222222222,0.8444444444444444,0.8555555555555555,0.7888888888888889,0.7,0.9555555555555556,0.7444444444444445
450,drift_localizer,0.8148148148148148,0.7777777777777778,0.7925925925925926,0.7037037037037037,0.6592592592592592,0.7333333333333333,0.762962962962963,0.7851851851851852,0.8074074074074075,0.8296296296296296,0.7407407407407407,0.7851851851851852,0.8074074074074075,0.837037037037037,0.7851851851851852,0.8592592592592593,0.837037037037037,0.7925925925925926,0.8518518518518519,0.674074074074074,0.7925925925925926,0.6888888888888889,0.6222222222222222,0.8296296296296296,0.7333333333333333
450,one_local_l,0.8074074074074075,0.7185185185185186,0.7185185185185186,0.7407407407407407,0.6666666666666666,0.6370370370370371,0.7185185185185186,0.7555555555555555,0.8444444444444444,0.7851851851851852,0.7407407407407407,0.762962962962963,0.762962962962963,0.7925925925925926,0.7037037037037037,0.837037037037037,0.8222222222222222,0.7703703703703704,0.8148148148148148,0.7111111111111111,0.7777777777777778,0.725925925925926,0.6296296296296297,0.8740740740740741,0.7703703703703704
450,one_local_l_lp,0.8,0.762962962962963,0.8222222222222222,0.8,0.8888888888888888,0.7703703703703704,0.837037037037037,0.7481481481481481,0.8740740740740741,0.7481481481481481,0.6888888888888889,0.9037037037037037,0.8074074074074075,0.9407407407407408,0.7851851851851852,0.9037037037037037,0.8074074074074075,0.8148148148148148,0.8592592592592593,0.6814814814814815,0.7037037037037037,0.7555555555555555,0.6518518518518519,0.8666666666666667,0.8888888888888888
450,recon_single,0.8,0.6814814814814815,0.7185185185185186,0.6962962962962963,0.6444444444444445,0.6074074074074074,0.6814814814814815,0.7481481481481481,0.7777777777777778,0.8074074074074075,0.7111111111111111,0.7703703703703704,0.6592592592592592,0.7925925925925926,0.7333333333333333,0.837037037037037,0.7481481481481481,0.7851851851851852,0.7777777777777778,0.6296296296296297,0.7703703703703704,0.6962962962962963,0.562962962962963,0.8296296296296296,0.7407407407407407
450,recon_single_lp,0.9111111111111111,0.8148148148148148,0.837037037037037,0.7703703703703704,0.8962962962962963,0.7851851851851852,0.8148148148148148,0.8296296296296296,0.8518518518518519,0.7703703703703704,0.7481481481481481,0.9703703703703703,0.8074074074074075,0.9407407407407408,0.8296296296296296,0.9037037037037037,0.837037037037037,0.8888888888888888,0.8222222222222222,0.762962962962963,0.8740740740740741,0.9037037037037037,0.762962962962963,0.8222222222222222,0.9629629629629629
