size,stability_mean,stability_std
200,0.5192583610614141,0.038200658436304206
500,0.1157467083632946,0.020676138382084736
1000,0.08196849379688502,0.018741903101239972
1500,0.06713914075866341,0.017407689896402883
2000,0.05357309526453415,0.01748274821327511
cross_all_values,0.23099431482702493,0.18584862125337026
