patch_size,stability_mean,stability_std
64,0.12916625459727488,0.025284293169193305
100,0.17547986099594517,0.026688539629804824
128,0.17714762421030747,0.025784875645990024
cross_all_values,0.2976768039291104,0.06501868696739943
