ratio,Method,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20,Run_21,Run_22,Run_23,Run_24,Run_25
0.2,drift_localizer,0.8733333333333333,0.8566666666666667,0.83,0.8433333333333334,0.8666666666666667,0.8366666666666667,0.8233333333333334,0.86,0.85,0.85,0.8333333333333334,0.84,0.84,0.85,0.8566666666666667,0.8766666666666667,0.8266666666666667,0.85,0.8233333333333334,0.8566666666666667,0.8866666666666667,0.8433333333333334,0.86,0.8333333333333334,0.8633333333333333
0.2,one_local_l,0.7866666666666666,0.77,0.7933333333333333,0.82,0.71,0.7666666666666667,0.7366666666666667,0.7733333333333333,0.7833333333333333,0.7866666666666666,0.7733333333333333,0.7,0.7666666666666667,0.7633333333333333,0.6666666666666666,0.8533333333333334,0.75,0.8133333333333334,0.75,0.75,0.8266666666666667,0.8066666666666666,0.8,0.76,0.7933333333333333
0.2,one_local_l_lp,0.8133333333333334,0.7466666666666667,0.79,0.7966666666666666,0.7166666666666667,0.75,0.8,0.7666666666666667,0.7666666666666667,0.7633333333333333,0.7533333333333333,0.8133333333333334,0.7333333333333333,0.7466666666666667,0.7366666666666667,0.8366666666666667,0.6966666666666667,0.8166666666666667,0.7333333333333333,0.7666666666666667,0.8133333333333334,0.77,0.8266666666666667,0.7333333333333333,0.75
0.2,recon_single,0.7733333333333333,0.7533333333333333,0.7266666666666667,0.77,0.66,0.7566666666666667,0.7333333333333333,0.7266666666666667,0.7566666666666667,0.71,0.72,0.7233333333333334,0.73,0.7233333333333334,0.73,0.83,0.6466666666666666,0.7866666666666666,0.7233333333333334,0.69,0.7866666666666666,0.7433333333333333,0.75,0.6633333333333333,0.7966666666666666
0.2,recon_single_lp,0.7933333333333333,0.7566666666666667,0.7633333333333333,0.7533333333333333,0.6933333333333334,0.7266666666666667,0.7833333333333333,0.76,0.7933333333333333,0.7133333333333334,0.7466666666666667,0.83,0.73,0.7266666666666667,0.7666666666666667,0.8266666666666667,0.7066666666666667,0.8033333333333333,0.74,0.6933333333333334,0.8,0.7933333333333333,0.77,0.7166666666666667,0.7466666666666667
0.2,recon_all,0.76,0.7866666666666666,0.7466666666666667,0.74,0.7433333333333333,0.75,0.7366666666666667,0.75,0.7733333333333333,0.7066666666666667,0.7266666666666667,0.7066666666666667,0.7433333333333333,0.76,0.78,0.8,0.6633333333333333,0.7533333333333333,0.7466666666666667,0.6833333333333333,0.7866666666666666,0.7833333333333333,0.78,0.6933333333333334,0.7533333333333333
0.2,recon_all_lp,0.8,0.79,0.79,0.7633333333333333,0.79,0.78,0.8066666666666666,0.7766666666666666,0.83,0.73,0.7466666666666667,0.82,0.7766666666666666,0.7833333333333333,0.85,0.81,0.65,0.81,0.81,0.7133333333333334,0.82,0.8333333333333334,0.7866666666666666,0.76,0.7433333333333333
0.4,drift_localizer,0.7733333333333333,0.74,0.7366666666666667,0.7766666666666666,0.7266666666666667,0.75,0.7466666666666667,0.74,0.7266666666666667,0.74,0.7366666666666667,0.7633333333333333,0.6966666666666667,0.7166666666666667,0.7333333333333333,0.74,0.7533333333333333,0.7233333333333334,0.74,0.78,0.74,0.75,0.7666666666666667,0.7533333333333333,0.7233333333333334
0.4,one_local_l,0.75,0.72,0.6666666666666666,0.6733333333333333,0.72,0.6833333333333333,0.7166666666666667,0.7,0.64,0.6966666666666667,0.68,0.7133333333333334,0.73,0.7166666666666667,0.6766666666666666,0.69,0.7333333333333333,0.7433333333333333,0.7366666666666667,0.72,0.7466666666666667,0.6966666666666667,0.7733333333333333,0.74,0.7733333333333333
0.4,one_local_l_lp,0.7366666666666667,0.6733333333333333,0.6433333333333333,0.73,0.7266666666666667,0.6866666666666666,0.7033333333333334,0.6933333333333334,0.82,0.7366666666666667,0.73,0.6566666666666666,0.74,0.74,0.81,0.7566666666666667,0.7533333333333333,0.7266666666666667,0.7033333333333334,0.7733333333333333,0.7466666666666667,0.7333333333333333,0.6866666666666666,0.7666666666666667,0.77
0.4,recon_single,0.7,0.6366666666666667,0.6933333333333334,0.65,0.65,0.6633333333333333,0.6666666666666666,0.69,0.56,0.6566666666666666,0.6566666666666666,0.6,0.6866666666666666,0.68,0.67,0.6633333333333333,0.7233333333333334,0.6533333333333333,0.6933333333333334,0.6766666666666666,0.7266666666666667,0.63,0.6733333333333333,0.7066666666666667,0.6933333333333334
0.4,recon_single_lp,0.7666666666666667,0.6833333333333333,0.6233333333333333,0.7066666666666667,0.7233333333333334,0.7133333333333334,0.74,0.71,0.78,0.75,0.72,0.6033333333333334,0.7633333333333333,0.7633333333333333,0.7766666666666666,0.75,0.73,0.6833333333333333,0.6933333333333334,0.7433333333333333,0.7666666666666667,0.72,0.7733333333333333,0.7933333333333333,0.81
0.4,recon_all,0.6933333333333334,0.71,0.6866666666666666,0.65,0.6133333333333333,0.65,0.66,0.67,0.6233333333333333,0.66,0.7033333333333334,0.6333333333333333,0.6633333333333333,0.6666666666666666,0.6366666666666667,0.68,0.7733333333333333,0.7,0.6866666666666666,0.62,0.6566666666666666,0.6966666666666667,0.6366666666666667,0.6966666666666667,0.6233333333333333
0.4,recon_all_lp,0.7666666666666667,0.7233333333333334,0.71,0.72,0.7133333333333334,0.7666666666666667,0.7466666666666667,0.7166666666666667,0.85,0.8266666666666667,0.7466666666666667,0.6766666666666666,0.7533333333333333,0.75,0.8033333333333333,0.8,0.76,0.7233333333333334,0.7333333333333333,0.6866666666666666,0.7166666666666667,0.72,0.7433333333333333,0.8033333333333333,0.7333333333333333
0.6,drift_localizer,0.6533333333333333,0.6733333333333333,0.6466666666666666,0.65,0.6466666666666666,0.6733333333333333,0.6866666666666666,0.6466666666666666,0.6566666666666666,0.6766666666666666,0.5966666666666667,0.67,0.6433333333333333,0.63,0.6833333333333333,0.61,0.64,0.6466666666666666,0.67,0.69,0.65,0.67,0.6233333333333333,0.6566666666666666,0.6833333333333333
0.6,one_local_l,0.6566666666666666,0.6866666666666666,0.6266666666666667,0.6566666666666666,0.7166666666666667,0.74,0.6966666666666667,0.6366666666666667,0.72,0.72,0.7166666666666667,0.6766666666666666,0.6933333333333334,0.6466666666666666,0.6566666666666666,0.71,0.58,0.6633333333333333,0.72,0.6033333333333334,0.7,0.6966666666666667,0.69,0.59,0.7033333333333334
0.6,one_local_l_lp,0.6633333333333333,0.7066666666666667,0.6466666666666666,0.6133333333333333,0.7033333333333334,0.6733333333333333,0.6833333333333333,0.67,0.7166666666666667,0.6633333333333333,0.68,0.7333333333333333,0.7366666666666667,0.6766666666666666,0.66,0.6933333333333334,0.6933333333333334,0.6966666666666667,0.6966666666666667,0.6866666666666666,0.6833333333333333,0.74,0.6666666666666666,0.6533333333333333,0.7066666666666667
0.6,recon_single,0.6233333333333333,0.6333333333333333,0.6066666666666667,0.56,0.6433333333333333,0.6466666666666666,0.5966666666666667,0.6233333333333333,0.6466666666666666,0.6433333333333333,0.57,0.64,0.6166666666666667,0.5866666666666667,0.5866666666666667,0.65,0.5066666666666667,0.61,0.6333333333333333,0.5933333333333334,0.61,0.67,0.6033333333333334,0.5533333333333333,0.6133333333333333
0.6,recon_single_lp,0.67,0.6933333333333334,0.6466666666666666,0.67,0.6766666666666666,0.7133333333333334,0.6566666666666666,0.69,0.63,0.7266666666666667,0.72,0.7566666666666667,0.7266666666666667,0.69,0.65,0.74,0.7066666666666667,0.6966666666666667,0.7433333333333333,0.6566666666666666,0.76,0.7533333333333333,0.7066666666666667,0.67,0.6833333333333333
0.6,recon_all,0.6266666666666667,0.58,0.56,0.5733333333333334,0.6533333333333333,0.64,0.6666666666666666,0.61,0.6433333333333333,0.5833333333333334,0.6166666666666667,0.6466666666666666,0.6166666666666667,0.6333333333333333,0.5466666666666666,0.55,0.5433333333333333,0.6166666666666667,0.6,0.6266666666666667,0.58,0.5833333333333334,0.59,0.5533333333333333,0.6333333333333333
0.6,recon_all_lp,0.6266666666666667,0.6666666666666666,0.6933333333333334,0.73,0.6933333333333334,0.6933333333333334,0.74,0.7166666666666667,0.6333333333333333,0.68,0.72,0.69,0.7133333333333334,0.8166666666666667,0.6566666666666666,0.7266666666666667,0.73,0.69,0.6833333333333333,0.73,0.73,0.76,0.7466666666666667,0.7166666666666667,0.71
0.8,drift_localizer,0.5533333333333333,0.58,0.57,0.53,0.5033333333333333,0.5566666666666666,0.5533333333333333,0.5266666666666666,0.5833333333333334,0.56,0.5933333333333334,0.5133333333333333,0.5333333333333333,0.5766666666666667,0.5666666666666667,0.5733333333333334,0.4866666666666667,0.5266666666666666,0.5666666666666667,0.5533333333333333,0.5466666666666666,0.5933333333333334,0.5266666666666666,0.56,0.5
0.8,one_local_l,0.6366666666666667,0.7,0.6366666666666667,0.7033333333333334,0.6766666666666666,0.7,0.6666666666666666,0.69,0.7433333333333333,0.6533333333333333,0.74,0.6533333333333333,0.7133333333333334,0.6233333333333333,0.7166666666666667,0.6033333333333334,0.7366666666666667,0.73,0.6833333333333333,0.6566666666666666,0.65,0.6833333333333333,0.7033333333333334,0.6833333333333333,0.68
