Method,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10,Run_11,Run_12,Run_13,Run_14,Run_15,Run_16,Run_17,Run_18,Run_19,Run_20,Run_21,Run_22,Run_23,Run_24,Run_25
drift_localizer,0.8133333333333334,0.8533333333333334,0.68,0.7266666666666667,0.8266666666666667,0.7933333333333333,0.8266666666666667,0.72,0.68,0.8733333333333333,0.8933333333333333,0.7533333333333333,0.8333333333333334,0.7866666666666666,0.8466666666666667,0.8133333333333334,0.82,0.7866666666666666,0.86,0.6866666666666666,0.7266666666666667,0.74,0.8133333333333334,0.72,0.8066666666666666
one_local_one_global_l,0.82,0.9,0.7266666666666667,0.78,0.8466666666666667,0.7533333333333333,0.84,0.7,0.7266666666666667,0.8,0.88,0.7533333333333333,0.86,0.76,0.8466666666666667,0.8133333333333334,0.82,0.7733333333333333,0.86,0.7333333333333333,0.7666666666666667,0.7066666666666667,0.8133333333333334,0.7466666666666667,0.7666666666666667
one_local_l,0.8333333333333334,0.9,0.7333333333333333,0.7666666666666667,0.86,0.7533333333333333,0.84,0.7133333333333334,0.7066666666666667,0.7933333333333333,0.8733333333333333,0.7266666666666667,0.86,0.82,0.8533333333333334,0.8133333333333334,0.82,0.7866666666666666,0.9,0.74,0.7533333333333333,0.7133333333333334,0.82,0.7466666666666667,0.74
two_local_l,0.82,0.9066666666666666,0.6933333333333334,0.7666666666666667,0.8533333333333334,0.7533333333333333,0.84,0.7133333333333334,0.6733333333333333,0.8,0.8733333333333333,0.7266666666666667,0.8666666666666667,0.76,0.8666666666666667,0.8133333333333334,0.82,0.7866666666666666,0.8933333333333333,0.7266666666666667,0.7533333333333333,0.7,0.82,0.7466666666666667,0.7666666666666667
three_local_l,0.8133333333333334,0.9066666666666666,0.72,0.7666666666666667,0.8533333333333334,0.7533333333333333,0.84,0.7133333333333334,0.6866666666666666,0.8,0.8733333333333333,0.7266666666666667,0.8666666666666667,0.7466666666666667,0.8666666666666667,0.82,0.8266666666666667,0.78,0.8933333333333333,0.7266666666666667,0.7533333333333333,0.7133333333333334,0.8266666666666667,0.74,0.7666666666666667
one_local_l_probs,0.8333333333333334,0.8933333333333333,0.7266666666666667,0.7733333333333333,0.86,0.76,0.84,0.7133333333333334,0.6866666666666666,0.8266666666666667,0.88,0.7466666666666667,0.86,0.8133333333333334,0.8466666666666667,0.8133333333333334,0.82,0.78,0.8666666666666667,0.7533333333333333,0.7533333333333333,0.72,0.8266666666666667,0.7333333333333333,0.8
two_local_l_probs,0.82,0.9066666666666666,0.6933333333333334,0.7666666666666667,0.8533333333333334,0.7533333333333333,0.84,0.7133333333333334,0.68,0.7866666666666666,0.8733333333333333,0.7466666666666667,0.8666666666666667,0.78,0.86,0.8133333333333334,0.82,0.7866666666666666,0.8933333333333333,0.74,0.7533333333333333,0.72,0.8266666666666667,0.7333333333333333,0.7666666666666667
three_local_l_probs,0.8133333333333334,0.9066666666666666,0.7266666666666667,0.7666666666666667,0.8533333333333334,0.7533333333333333,0.84,0.7133333333333334,0.6866666666666666,0.8,0.8733333333333333,0.7533333333333333,0.8666666666666667,0.76,0.8666666666666667,0.8133333333333334,0.82,0.7866666666666666,0.8933333333333333,0.74,0.7533333333333333,0.7133333333333334,0.8266666666666667,0.7333333333333333,0.7733333333333333
one_global_l,0.8,0.9,0.7266666666666667,0.56,0.7133333333333334,0.8533333333333334,0.84,0.7133333333333334,0.5,0.86,0.5866666666666667,0.7466666666666667,0.6333333333333333,0.7466666666666667,0.7,0.5933333333333334,0.8466666666666667,0.5866666666666667,0.8466666666666667,0.5466666666666666,0.7533333333333333,0.76,0.4266666666666667,0.54,0.6333333333333333
two_global_l,0.8066666666666666,0.9,0.6866666666666666,0.7066666666666667,0.7333333333333333,0.7533333333333333,0.8133333333333334,0.7133333333333334,0.72,0.8133333333333334,0.8733333333333333,0.7466666666666667,0.8666666666666667,0.76,0.84,0.6333333333333333,0.82,0.7133333333333334,0.8933333333333333,0.74,0.7533333333333333,0.76,0.8066666666666666,0.52,0.6533333333333333
three_global_l,0.8066666666666666,0.9066666666666666,0.6933333333333334,0.72,0.84,0.7533333333333333,0.84,0.7133333333333334,0.76,0.8133333333333334,0.8733333333333333,0.7733333333333333,0.8666666666666667,0.76,0.84,0.82,0.82,0.7133333333333334,0.86,0.74,0.7466666666666667,0.7533333333333333,0.8133333333333334,0.5266666666666666,0.7666666666666667
one_local_one_global_preds_l,0.74,0.86,0.8733333333333333,0.8266666666666667,0.82,0.8133333333333334,0.8933333333333333,0.78,0.7933333333333333,0.8333333333333334,0.9866666666666667,0.8666666666666667,0.8933333333333333,0.8,0.88,0.9866666666666667,0.9866666666666667,0.96,0.9333333333333333,0.8866666666666667,0.9066666666666666,0.8733333333333333,0.88,0.8666666666666667,0.8266666666666667
one_local_preds_l,0.9133333333333333,0.86,0.8533333333333334,0.8533333333333334,0.9266666666666666,0.8133333333333334,0.8933333333333333,0.78,0.8533333333333334,0.84,0.98,0.88,0.8933333333333333,0.86,0.8866666666666667,0.9866666666666667,0.9866666666666667,0.9733333333333334,0.9066666666666666,0.88,0.84,0.88,0.8866666666666667,0.88,0.84
two_local_preds_l,0.9,0.84,0.84,0.8533333333333334,0.92,0.8133333333333334,0.8933333333333333,0.78,0.8066666666666666,0.8333333333333334,0.98,0.88,0.8733333333333333,0.8133333333333334,0.9,0.9866666666666667,0.9866666666666667,0.9733333333333334,0.9,0.9066666666666666,0.84,0.84,0.8866666666666667,0.88,0.92
three_local_preds_l,0.9066666666666666,0.84,0.7733333333333333,0.8533333333333334,0.92,0.8133333333333334,0.8933333333333333,0.78,0.7933333333333333,0.8333333333333334,0.98,0.88,0.8733333333333333,0.7866666666666666,0.9,0.98,0.9933333333333333,0.9666666666666667,0.9,0.9066666666666666,0.84,0.8266666666666667,0.88,0.8866666666666667,0.92
one_local_preds_l_probs,0.9133333333333333,0.8666666666666667,0.8733333333333333,0.8466666666666667,0.9266666666666666,0.8066666666666666,0.8933333333333333,0.78,0.8466666666666667,0.8866666666666667,0.9866666666666667,0.8733333333333333,0.8933333333333333,0.8666666666666667,0.88,0.9866666666666667,0.9866666666666667,0.98,0.94,0.88,0.84,0.9,0.88,0.88,0.8733333333333333
two_local_preds_l_probs,0.9,0.84,0.84,0.8533333333333334,0.92,0.8133333333333334,0.8933333333333333,0.78,0.84,0.8466666666666667,0.98,0.8733333333333333,0.8733333333333333,0.86,0.8933333333333333,0.9866666666666667,0.9866666666666667,0.9733333333333334,0.9,0.8933333333333333,0.84,0.8733333333333333,0.88,0.8933333333333333,0.8
three_local_preds_l_probs,0.9066666666666666,0.84,0.78,0.8533333333333334,0.92,0.8133333333333334,0.8933333333333333,0.78,0.7933333333333333,0.8333333333333334,0.98,0.88,0.8733333333333333,0.8266666666666667,0.9,0.9866666666666667,0.9866666666666667,0.9733333333333334,0.9,0.8933333333333333,0.84,0.84,0.88,0.88,0.82
one_global_preds_l,0.8266666666666667,0.8333333333333334,0.6733333333333333,0.62,0.7666666666666667,0.7933333333333333,0.8266666666666667,0.7666666666666667,0.5533333333333333,0.8533333333333334,0.6933333333333334,0.7933333333333333,0.6266666666666667,0.7866666666666666,0.7333333333333333,0.7133333333333334,0.7333333333333333,0.7333333333333333,0.8666666666666667,0.6733333333333333,0.8533333333333334,0.7666666666666667,0.4666666666666667,0.5933333333333334,0.72
two_global_preds_l,0.74,0.8333333333333334,0.8066666666666666,0.74,0.6933333333333334,0.8,0.8666666666666667,0.7666666666666667,0.7466666666666667,0.82,0.98,0.7933333333333333,0.8733333333333333,0.8,0.8733333333333333,0.7533333333333333,0.9866666666666667,0.9,0.9,0.88,0.8533333333333334,0.7666666666666667,0.8733333333333333,0.64,0.7133333333333334
three_global_preds_l,0.74,0.84,0.8266666666666667,0.7533333333333333,0.9066666666666666,0.8133333333333334,0.8933333333333333,0.7666666666666667,0.6666666666666666,0.82,0.98,0.6733333333333333,0.8733333333333333,0.8,0.8733333333333333,0.98,0.9866666666666667,0.9,0.9333333333333333,0.88,0.82,0.8266666666666667,0.88,0.6333333333333333,0.8266666666666667
reconstructed_single_concepts,0.8333333333333334,0.8666666666666667,0.7333333333333333,0.7466666666666667,0.86,0.76,0.84,0.76,0.7,0.88,0.88,0.7933333333333333,0.86,0.8133333333333334,0.8333333333333334,0.8133333333333334,0.8266666666666667,0.7733333333333333,0.8933333333333333,0.7466666666666667,0.7666666666666667,0.72,0.82,0.7266666666666667,0.74
reconstructed_single_concepts_preds,0.9,0.8666666666666667,0.8666666666666667,0.7533333333333333,0.8333333333333334,0.8066666666666666,0.8933333333333333,0.7733333333333333,0.6733333333333333,0.8866666666666667,0.9866666666666667,0.6666666666666666,0.88,0.8666666666666667,0.8933333333333333,0.9866666666666667,0.9933333333333333,0.96,0.9133333333333333,0.8866666666666667,0.8533333333333334,0.7933333333333333,0.8866666666666667,0.9,0.84
reconstructed_2_concepts,0.82,0.8533333333333334,0.7133333333333334,0.7533333333333333,0.86,0.7666666666666667,0.88,0.72,0.72,0.88,0.8733333333333333,0.76,0.8533333333333334,0.7933333333333333,0.8333333333333334,0.8133333333333334,0.82,0.7866666666666666,0.8866666666666667,0.7533333333333333,0.7533333333333333,0.7266666666666667,0.82,0.7266666666666667,0.78
reconstructed_2_concepts_preds,0.9133333333333333,0.92,0.86,0.8133333333333334,0.9266666666666666,0.8,0.8666666666666667,0.8,0.7333333333333333,0.8866666666666667,0.98,0.9133333333333333,0.9,0.8866666666666667,0.8533333333333334,0.9866666666666667,1.0,0.9866666666666667,0.9333333333333333,0.88,0.88,0.8933333333333333,0.8866666666666667,0.9133333333333333,0.8533333333333334
reconstructed_3_concepts,0.8133333333333334,0.8466666666666667,0.68,0.7066666666666667,0.86,0.8666666666666667,0.8666666666666667,0.7133333333333334,0.7066666666666667,0.88,0.8733333333333333,0.76,0.8533333333333334,0.7933333333333333,0.8333333333333334,0.8133333333333334,0.8266666666666667,0.78,0.9,0.72,0.76,0.7466666666666667,0.82,0.7266666666666667,0.7666666666666667
reconstructed_3_concepts_preds,0.9333333333333333,0.9266666666666666,0.8533333333333334,0.7533333333333333,0.9266666666666666,0.8333333333333334,0.8533333333333334,0.8333333333333334,0.7866666666666666,0.8866666666666667,0.98,0.9266666666666666,0.9133333333333333,0.8333333333333334,0.8666666666666667,0.9866666666666667,0.9933333333333333,0.9533333333333334,0.9066666666666666,0.9,0.9266666666666666,0.9133333333333333,0.8866666666666667,0.9133333333333333,0.92
reconstructed_all_concepts,0.8133333333333334,0.8533333333333334,0.6933333333333334,0.74,0.86,0.8533333333333334,0.8266666666666667,0.72,0.7066666666666667,0.88,0.8733333333333333,0.7533333333333333,0.86,0.8133333333333334,0.8333333333333334,0.8133333333333334,0.82,0.7933333333333333,0.86,0.7333333333333333,0.7533333333333333,0.7466666666666667,0.8266666666666667,0.7466666666666667,0.7733333333333333
reconstructed_all_concepts_preds,0.9333333333333333,0.92,0.8533333333333334,0.8266666666666667,0.9266666666666666,0.86,0.9333333333333333,0.8533333333333334,0.8533333333333334,0.8866666666666667,0.98,0.9466666666666667,0.88,0.84,0.92,0.9866666666666667,1.0,0.98,0.9733333333333334,0.9,0.92,0.94,0.92,0.92,0.9133333333333333
label_maps,"{2: 1, 1: 2, 3: 0, 0: 0}","{1: 0, 3: 1, 2: 2, 0: 0}","{1: 1, 2: 2, 3: 0, 0: 2}","{0: 2, 3: 1, 2: 0, 1: 2}","{1: 0, 3: 1, 0: 2, 2: 1}","{1: 2, 3: 0, 0: 1, 2: 0}","{2: 0, 1: 2, 0: 1, 3: 0}","{1: 2, 0: 0, 2: 1, 3: 2}","{0: 1, 1: 0, 3: 2, 2: 2}","{1: 2, 2: 0, 3: 1, 0: 0}","{3: 0, 2: 2, 1: 1, 0: 0}","{3: 0, 0: 1, 1: 2, 2: 2}","{1: 1, 3: 0, 2: 2, 0: 0}","{0: 1, 2: 0, 1: 2, 3: 2}","{1: 2, 3: 1, 0: 0, 2: 1}","{1: 0, 3: 1, 0: 2, 2: 0}","{0: 2, 2: 1, 1: 0, 3: 0}","{0: 0, 3: 1, 2: 2, 1: 2}","{2: 2, 0: 1, 1: 0, 3: 0}","{1: 1, 2: 0, 3: 2, 0: 2}","{1: 0, 0: 2, 2: 1, 3: 2}","{0: 1, 1: 0, 2: 2, 3: 2}","{3: 0, 1: 1, 2: 2, 0: 0}","{3: 2, 0: 0, 1: 1, 2: 2}","{1: 1, 0: 0, 3: 2, 2: 2}"
drift_ratios,"{'BD': 239, 'AD': 111, 'Both': 150}","{'BD': 262, 'AD': 124, 'Both': 114}","{'BD': 133, 'AD': 113, 'Both': 254}","{'BD': 135, 'AD': 121, 'Both': 244}","{'BD': 131, 'AD': 254, 'Both': 115}","{'BD': 252, 'AD': 106, 'Both': 142}","{'BD': 235, 'AD': 145, 'Both': 120}","{'BD': 119, 'AD': 131, 'Both': 250}","{'BD': 122, 'AD': 129, 'Both': 249}","{'BD': 249, 'AD': 118, 'Both': 133}","{'BD': 254, 'AD': 123, 'Both': 123}","{'BD': 120, 'AD': 131, 'Both': 249}","{'BD': 255, 'AD': 126, 'Both': 119}","{'BD': 131, 'AD': 141, 'Both': 228}","{'BD': 113, 'AD': 247, 'Both': 140}","{'BD': 250, 'AD': 122, 'Both': 128}","{'BD': 244, 'AD': 138, 'Both': 118}","{'BD': 138, 'AD': 122, 'Both': 240}","{'BD': 251, 'AD': 116, 'Both': 133}","{'BD': 116, 'AD': 113, 'Both': 271}","{'BD': 139, 'AD': 120, 'Both': 241}","{'BD': 136, 'AD': 120, 'Both': 244}","{'BD': 229, 'AD': 136, 'Both': 135}","{'BD': 147, 'AD': 129, 'Both': 224}","{'BD': 124, 'AD': 141, 'Both': 235}"
