win_size,stability_mean,stability_std
5,0.034780816750911374,0.01352050715749898
10,0.04708594802611818,0.015905074867744683
15,0.05788463234901428,0.018293537268199756
20,0.05793457686280211,0.01738325107709246
30,0.07295525296901663,0.023108642875406215
cross_all_values,0.07999387395188212,0.029327424324806152
