win_size,stability_mean,stability_std
5,0.05706939798158904,0.02155529905080705
10,0.05757737348166605,0.018890923632689172
15,0.07421356664815297,0.023295219084716257
20,0.07613265975068013,0.032141504689634906
30,0.10350228184213241,0.035869072462626696
cross_all_values,0.09163770081877709,0.03591270939166082
