win_size,stability_mean,stability_std
5,0.07475656226277351,0.02300138345363806
10,0.08534997618446748,0.019630565297466353
15,0.09173657239725193,0.0194797543247966
20,0.09328924113263687,0.02121800940975467
30,0.09569551352411508,0.02201192654761705
cross_all_values,0.10306742288798094,0.02356364968168032
